Begin time,End time,Eclipse type,Greatest eclipse time,EARTH_Position_X,EARTH_Position_Y,EARTH_Position_Z,EARTH_Velocity_X,EARTH_Velocity_Y,EARTH_Velocity_Z,MOON_Position_X,MOON_Position_Y,MOON_Position_Z,MOON_Velocity_X,MOON_Velocity_Y,MOON_Velocity_Z,SUN_Position_X,SUN_Position_Y,SUN_Position_Z,SUN_Velocity_X,SUN_Velocity_Y,SUN_Velocity_Z,JUPITER_Position_X,JUPITER_Position_Y,JUPITER_Position_Z,JUPITER_Velocity_X,JUPITER_Velocity_Y,JUPITER_Velocity_Z,VENUS_Position_X,VENUS_Position_Y,VENUS_Position_Z,VENUS_Velocity_X,VENUS_Velocity_Y,VENUS_Velocity_Z
2052 Mar 30 16:46:26,2052 Mar 30 22:02:28,Total,2052 Mar 30 19:24:29,-146914120.72017726,-27399862.927690618,4759.764554322779,4.980306160569091,-29.41037775633074,0.004568913545733394,-146556257.1417523,-27342699.644238364,7388.318471350378,4.780306819470057,-28.346250432433678,-0.09568335882663608,0.0,0.0,0.0,0.0,0.0,0.0,-814421661.3054638,-18241077.968468864,18295232.841163732,0.14049376938225766,-12.464284354271859,0.04863861926922392,-97632143.64162244,44647472.73308529,6247841.155139409,-14.718183759430513,-32.014897685716974,0.4067541527250991
2052 Sep 22 21:47:16,2052 Sep 23 03:29:56,Annular,2052 Sep 23 00:38:33,150092182.1076965,1243837.3082458337,-1693.952447381209,-0.7297348888178,29.689843605497664,-0.004592785860801297,149701929.32438385,1249906.9849141012,-5076.6459318173975,-0.7883100612011694,28.683283669924563,0.08784057694578597,0.0,0.0,0.0,0.0,0.0,0.0,-789279203.9364321,-205694450.22434387,18511541.236762848,3.1446202877546496,-12.04473548859388,-0.02030599475892406,24562105.31341318,104947303.37834972,32947.334279293245,-34.217280606196795,7.808191828841275,2.0814536451395687
2053 Mar 20 05:23:59,2053 Mar 20 10:49:56,Annular,2053 Mar 20 08:07:01,-148996475.00143638,112263.73368424096,1538.919120010773,-0.505058033914688,-29.913869255715927,0.004687271081672091,-148615804.11128342,102322.35801738469,-520.1397445932965,-0.5248747343815594,-28.880963276754482,-0.09035635655900917,0.0,0.0,0.0,0.0,0.0,0.0,-718476060.9882846,-383523756.354453,17666346.042710524,6.004207907775024,-10.927084535173222,-0.08892343718944484,108380143.72842585,4909986.192456564,-6183366.095919411,-1.7281868154762436,34.8249299424704,0.580737874010411
2053 Sep 12 07:51:13,2053 Sep 12 13:10:20,Total,2053 Sep 12 10:30:44,148214489.13376528,-26354672.6666974,1629.6997883726283,4.734675182704156,29.230748671138933,-0.00471072910686776,147852420.16111842,-26280444.12355545,3063.682662778776,4.483313585725685,28.197986518352597,0.09367043021190327,0.0,0.0,0.0,0.0,0.0,0.0,-607576972.0045685,-537306050.6256224,15824315.788430626,8.508806494255536,-9.186901975069581,-0.1521864162843267,29314103.928071816,-104791792.72642338,-3138395.3218201366,33.49275927964825,9.313955513785226,-1.8031556800527804
2054 Mar 09 11:47:35,2054 Mar 09 15:32:01,Partial,2054 Mar 09 13:39:50,-145832769.04773355,28271343.86551155,-1724.0683239049429,-6.154337127160767,-29.36957447067137,0.004662705929148145,-145441230.73005375,28188467.407623366,-8963.952259882097,-5.981296795954367,-28.40164319377021,-0.08392171013945585,0.0,0.0,0.0,0.0,0.0,0.0,-459962313.3162433,-661466983.472822,13037832.402090717,10.582189512877124,-6.856929628944029,-0.20825165441674517,-91978029.69039162,-56563476.1779668,4523538.190972137,18.101848909706156,-29.99531987387959,-1.4584713709449981
2054 Aug 03 18:03:53,2054 Aug 03 19:53:20,Partial,2054 Aug 03 18:58:37,100630531.08291267,-113627776.67196399,12772.175571773527,21.827914252758145,19.645855968441833,-0.0037618337633304097,100395248.9894416,-113358322.55166444,3336.758341937639,21.007712478038545,18.919267541360014,0.09344307569330175,0.0,0.0,0.0,0.0,0.0,0.0,-316764123.6588837,-734462939.9886506,10137609.956777843,11.85376516291565,-4.569376936067115,-0.24619304409729972,7199511.793459169,107444512.40912236,1069200.2880291797,-35.06235472861236,2.161090575728829,2.0521494089715864
2054 Sep 02 00:13:50,2054 Sep 02 03:56:58,Partial,2054 Sep 02 02:05:23,141550157.72720557,-52418862.73386122,4809.291054723328,9.86651840521269,27.83477321165289,-0.004659141514119961,141217418.85265547,-52287614.74242402,10981.491815132837,9.458293511704833,26.817781362818103,0.09510440855138665,0.0,0.0,0.0,0.0,0.0,0.0,-286545498.5868791,-745400355.0091301,9507035.881484354,12.052149288562003,-4.082745175164489,-0.2526554753143307,-74011699.89723119,77750944.0319162,5342973.348029744,-25.49168922574319,-24.331385433516903,1.1341215744360769
2055 Jan 27 16:50:40,2055 Jan 27 21:18:24,Partial,2055 Jan 27 19:04:30,-89974600.9475035,116654401.23614632,-13270.213203925694,-24.082089617444446,-18.313243321324435,0.003524022475386581,-89734791.96185485,116332786.37650506,-5680.775301692188,-23.278867589179928,-17.750037155354917,-0.08477260790623932,0.0,0.0,0.0,0.0,0.0,0.0,-127738273.42656283,-781219850.227884,6103131.266826103,12.75177982743959,-1.4997886569487864,-0.2790395757551754,106900949.90097044,18122598.940274388,-5915325.801554947,-5.985039779924081,34.371426707555464,0.8200766946309128
2055 Jul 24 08:32:14,2055 Jul 24 13:20:08,Total,2055 Jul 24 10:56:13,79090852.1624299,-129759921.9718814,14937.953678469881,24.96454339264807,15.397812322967571,-0.0032984946451015077,78905228.78829503,-129439824.3165134,9402.852775609252,24.067071818591053,14.830748043519856,0.09407926845615686,0.0,0.0,0.0,0.0,0.0,0.0,69961393.15784551,-779198299.1678146,1671995.8157048514,12.871058416755524,1.7813843541537224,-0.2953396628495699,46094672.894904114,-98586367.65536107,-4020632.3079644158,31.49088427416487,14.714838814897558,-1.6129541559201046
2056 Jan 16 20:36:14,2056 Jan 17 02:13:21,Annular,2056 Jan 16 23:24:44,-65376611.65965554,131846475.08091028,-15455.58115942559,-27.18498591773182,-13.351386350583464,0.003091676652517366,-65215450.46395815,131500334.34652373,-12268.601016416207,-26.232426605321333,-12.957932795478841,-0.09136735501034528,0.0,0.0,0.0,0.0,0.0,0.0,261824456.9618034,-727019826.3556222,-2836943.8471089443,12.149377674539238,5.044249385257989,-0.2927551005937601,-84583507.20544952,-67286570.76926751,3948416.207511011,21.557759492880937,-27.573335097929874,-1.624363362128773
