Begin time,End time,Eclipse type,Greatest eclipse time,EARTH_Position_X,EARTH_Position_Y,EARTH_Position_Z,EARTH_Velocity_X,EARTH_Velocity_Y,EARTH_Velocity_Z,MOON_Position_X,MOON_Position_Y,MOON_Position_Z,MOON_Velocity_X,MOON_Velocity_Y,MOON_Velocity_Z,VENUS_Position_X,VENUS_Position_Y,VENUS_Position_Z,VENUS_Velocity_X,VENUS_Velocity_Y,VENUS_Velocity_Z,SUN_Position_X,SUN_Position_Y,SUN_Position_Z,SUN_Velocity_X,SUN_Velocity_Y,SUN_Velocity_Z
2034 Aug 30 02:24:59,2034 Aug 30 04:52:19,Penumbral,2034 Aug 30 02:24:59,140327083.96876353,-55527642.24134789,2629.0982007997886,10.484351157634503,27.585021891516035,-0.000892622739545288,140674116.35210097,-55668686.63408507,11859.435339036967,10.839931581274415,28.57224896043362,-0.09506084564221925,66534842.4757483,-86066139.8628351,-5022625.814521239,27.490198069512953,21.2947684259114,-1.2931826909984467,0.0,0.0,0.0,0.0,0.0,0.0
2034 Sep 28 11:48:10,2034 Sep 28 14:58:57,Penumbral,2034 Sep 28 11:48:10,148621872.7753426,18465679.28549255,-2477.692173271996,-4.1474599979505475,29.44698225970677,-0.0008965470942467968,148984996.47947007,18504251.151231136,-9850.349423056754,-4.298672730886776,30.51150336673542,-0.0968446747897926,108006830.63222189,-10780837.738610085,-6379854.950093368,3.3262671503879946,34.69207394146456,0.2852951387026697,0.0,0.0,0.0,0.0,0.0,0.0
2035 Feb 22 17:50:16,2035 Feb 22 22:44:39,Partial,2035 Feb 22 19:09:18,-134868927.29982507,61025206.40162783,-3354.7996164742353,-12.754009376430444,-27.24738529391776,0.0009397034741517106,-135208795.1356073,61187811.12701116,-9136.581764027957,-13.245172919174681,-28.16854110817567,0.09524646823103937,-67170553.16262297,-84865843.86918807,2707953.139881895,27.232271482727317,-21.910127296537606,-1.872683269397251,0.0,0.0,0.0,0.0,0.0,0.0
2035 Aug 19 10:19:06,2035 Aug 19 15:44:29,Partial,2035 Aug 19 11:37:09,128369619.31637776,-80011957.4609969,4834.8680004934995,15.279096892870518,25.16668772190835,-0.0008465831006518125,128700661.90266556,-80228361.19525152,9937.255592994525,15.792906963160844,26.018468246611604,-0.0922916486321461,-98009219.81820038,43731513.51485454,6256555.261121616,-14.421354270602604,-32.16176130586742,0.3895768097212477,0.0,0.0,0.0,0.0,0.0,0.0
2036 Feb 12 07:38:15,2036 Feb 12 12:59:01,Total,2036 Feb 12 09:30:31,-121144121.19677661,84510552.5700873,-5247.232190897512,-17.516907720992577,-24.538611614084008,0.0007110882091978764,-121433630.95200981,84724402.03693402,-6437.781604031127,-18.181989437183447,-25.401919202413985,0.10162064097929932,21257054.450136665,105644777.25142272,227047.2271458749,-34.45246444810736,6.7309798604339495,2.0804288964625846,0.0,0.0,0.0,0.0,0.0,0.0
2036 Aug 07 12:49:43,2036 Aug 07 19:01:20,Total,2036 Aug 07 15:05:29,111822018.83655463,-102297319.99907258,6724.542933106186,19.62867922972468,21.867546537858395,-0.0006800709211441741,112114897.19984561,-102578787.95580754,7003.9547263537825,20.297316443438685,22.56737201722273,-0.09040323513386686,108351177.04349756,5285679.070592526,-6178864.159577149,-1.84255764901105,34.8225800762163,0.5854691523934822,0.0,0.0,0.0,0.0,0.0,0.0
2037 Feb 01 00:47:46,2037 Feb 01 05:35:04,Partial,2037 Feb 01 01:52:46,-103622024.93137652,104902286.41053466,-7060.580266290244,-21.665425140100627,-21.040654676664545,0.0004968209509967198,-103866884.40481246,105163301.41264619,-3738.838658027235,-22.45236292784447,-21.80283465966243,0.10134865071558086,33955239.75098627,-103342623.29850042,-3381131.396959157,33.053215007385816,10.808607979226556,-1.7583595479176861,0.0,0.0,0.0,0.0,0.0,0.0
2037 Jul 27 15:38:18,2037 Jul 27 20:36:34,Partial,2037 Jul 27 17:17:48,91506009.84520636,-121093017.04784416,8381.626381673097,23.28753545593225,17.84829114815051,-0.0004055923734408059,91739177.47487536,-121415997.85502097,3563.136918453107,24.106435588853497,18.400142714917628,-0.09117217844725764,-91690161.1651483,-56917114.04662644,4507097.9160204325,18.238822554174174,-29.934576537988555,-1.464240206671621,0.0,0.0,0.0,0.0,0.0,0.0
2037 Dec 23 03:22:04,2037 Dec 23 05:47:41,Penumbral,2037 Dec 23 03:22:04,-10266421.681779306,146769118.76012138,-10768.460191675844,-30.188163320751627,-2.1879901318806807,-0.0007335756332923531,-10289876.892346516,147151293.78297287,-20179.783882938933,-31.210372912365536,-2.2938979325498186,0.09147574688670247,2820745.8768084385,107621837.89908467,1318178.775236396,-35.130424723262394,0.7275769948788308,2.0369421488280213,0.0,0.0,0.0,0.0,0.0,0.0
2038 Jan 21 17:05:54,2038 Jan 21 19:29:25,Penumbral,2038 Jan 21 17:05:54,-82609873.79589646,121902434.78985749,-8553.17620181772,-25.13217072855241,-16.819255248065037,0.0003445563386529241,-82814161.10694534,122212923.75322638,-92.02728335018337,-25.990271052877148,-17.43767144311625,0.09364208322644764,-77790843.5405872,73921271.3645818,5505441.422496461,-24.251225641432388,-25.583495379919526,1.0471330010038356,0.0,0.0,0.0,0.0,0.0,0.0
2038 Jun 17 15:02:51,2038 Jun 17 19:13:31,Partial,2038 Jun 17 16:48:34,-3143325.294576962,-151888531.72762325,11439.189380841222,29.302802269117294,-0.7263317793721812,0.0009543168358973697,-3157806.341836995,-152256723.64188161,18481.720650114275,30.365572795649225,-0.8087330730439123,-0.09437674366054928,106275183.3713138,21383538.89225076,-5837310.577725671,-7.031382852745809,34.179715960532015,0.8760681871473953,0.0,0.0,0.0,0.0,0.0,0.0
2038 Dec 12 07:06:23,2038 Dec 12 12:32:17,Partial,2038 Dec 12 08:35:36,18146325.00751042,146120464.7409162,-11190.911765781399,-30.034266424087015,3.5599986970358724,-0.001098284173672791,18204071.926799398,146518178.93792617,-16856.54601628207,-31.006393533549744,3.6769658119376745,0.08872866180722493,49353653.361413375,-96951329.51861267,-4181755.3720321883,30.990969623750974,15.767859303387544,-1.5710336880533047,0.0,0.0,0.0,0.0,0.0,0.0
2039 Jun 07 07:34:16,2039 Jun 07 12:46:39,Total,2039 Jun 07 09:26:46,-29177680.824041598,-148948271.5932286,11554.74154643854,28.753071886613238,-5.8362916058648695,0.0014143541197969302,-29255679.20978099,-149297044.17723152,13842.85926845819,29.82176340195553,-6.082217402836574,-0.09990379684535382,-81070447.23396356,-71471413.19932546,3693775.3847169005,22.92698310451238,-26.4484640197126,-1.686778223140922,0.0,0.0,0.0,0.0,0.0,0.0
